patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_02,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_03,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_04,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_05,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_06,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_07,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_08,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_09,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_10,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_11,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_12,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_13,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_14,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0.2,0
patch_15,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_16,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_17,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_18,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_19,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_20,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_21,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_22,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_23,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_24,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_25,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_26,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_27,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_28,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_29,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_30,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_31,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_32,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
patch_33,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
